freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,label
5805,-102,45,63,397,24,16,61,1
5805,-102,39,61,399,26,18,59,1
2442,-101,46,81,379,4,12,56,0
2432,-101,35,81,379,5,14,55,0
2432,-102,41,80,380,10,16,57,0
5805,-102,40,62,399,26,17,59,1
2427,-102,48,81,380,5,15,57,0
5805,-102,38,61,400,28,17,59,1
2457,-102,48,81,380,3,12,54,0
2442,-102,34,81,380,5,11,55,0
2452,-101,50,74,386,5,13,49,0
5805,-102,39,59,402,28,14,57,1
2422,-102,31,81,380,6,9,53,0
5805,-102,45,60,401,28,15,58,1
5805,-102,33,59,401,29,15,57,1
2452,-102,96,69,392,6,13,48,0
5785,-102,50,69,391,16,2,54,1
5805,-102,46,59,401,28,15,56,1
5805,-102,36,61,399,26,14,59,1
2437,-101,44,81,379,4,10,55,0
5805,-102,30,59,402,28,13,57,1
2447,-101,99,74,385,5,11,50,0
5805,-102,37,61,400,27,14,59,1
5805,-102,33,59,401,27,13,57,1
5805,-102,36,60,401,29,12,58,1
2432,-102,36,81,380,7,11,56,0
2442,-101,101,81,379,5,7,56,0
5805,-102,43,61,399,26,16,59,1
2412,-108,40,74,393,9,13,49,0
5805,-102,51,60,400,26,15,58,1
2437,-101,103,74,386,5,13,52,0
5805,-102,51,62,399,26,14,60,1
2447,-101,80,63,396,7,9,46,0
5805,-102,83,63,398,25,15,60,1
2432,-102,52,80,381,8,6,55,0
5805,-102,47,62,398,25,15,60,1
5805,-102,36,81,380,11,9,58,1
2417,-102,41,81,380,5,11,55,0
2462,-102,42,81,380,6,13,57,0
5805,-102,35,81,380,12,7,59,1
5805,-102,40,61,400,27,15,59,1
2452,-102,38,81,380,5,12,55,0
5805,-102,36,61,400,26,16,59,1
5805,-102,42,61,400,27,15,59,1
5805,-102,52,63,398,24,13,61,1
2457,-101,85,81,379,6,10,54,0
5785,-102,46,71,390,16,1,53,1
2427,-102,43,77,383,11,11,57,0
2417,-102,99,74,386,4,13,53,0
2412,-108,95,81,386,17,3,58,0
5805,-102,40,61,400,27,14,59,1
5805,-102,36,80,381,10,9,57,1
5805,-102,38,61,400,27,14,60,1
2462,-102,93,74,386,4,12,50,0
2462,-102,35,74,386,5,10,48,0
5805,-102,47,62,398,25,14,59,1
2427,-101,103,74,385,4,12,51,0
5805,-102,60,62,398,25,15,60,1
5805,-102,36,60,401,29,16,58,1
5785,-102,45,69,392,16,4,55,1
5805,-102,44,60,401,28,15,58,1
5805,-102,33,60,400,27,17,58,1
2462,-101,90,81,379,6,11,54,0
5765,-102,71,78,383,12,10,57,1
5805,-102,40,61,400,27,15,59,1
2442,-101,64,79,380,8,11,57,0
2412,-109,41,74,393,11,7,49,0
5805,-102,53,62,398,25,16,61,1
5805,-102,44,61,400,27,14,60,1
5765,-102,68,79,381,13,13,60,1
2452,-102,102,81,380,4,13,56,0
2462,-102,54,81,380,7,12,57,0
2427,-102,95,78,382,9,17,55,0
5805,-102,46,61,400,28,15,59,1
2432,-102,47,81,380,7,7,57,0
2452,-101,110,74,386,5,14,51,0
2442,-101,36,74,386,5,13,49,0
2452,-102,88,73,388,16,15,56,0
5805,-102,35,61,400,27,15,59,1
5180,-102,32,75,385,11,8,58,1
2432,-101,40,74,386,3,13,49,0
2427,-101,85,80,380,7,12,57,0
5805,-102,45,60,400,28,15,58,1
2462,-102,102,81,380,4,12,55,0
2427,-102,43,74,386,11,13,51,0
5805,-102,41,62,399,26,14,59,1
2452,-102,90,81,380,4,12,55,0
2412,-108,45,81,386,11,14,56,0
2462,-102,36,81,380,5,12,54,0
5805,-102,40,78,382,12,8,58,1
2457,-102,46,81,380,6,16,56,0
5805,-102,31,59,402,29,13,57,1
5240,-102,53,76,384,11,10,59,1
2412,-108,105,74,393,8,12,50,0
5805,-102,41,61,399,25,13,58,1
2422,-102,34,81,380,6,8,54,0
5805,-102,48,63,397,25,14,61,1
2437,-101,27,74,386,5,12,48,0
5805,-102,39,61,400,26,14,59,1
2437,-101,101,69,390,4,12,48,0
2427,-102,112,77,383,11,14,56,0
5805,-102,33,60,401,27,14,58,1
2457,-101,102,74,386,4,11,51,0
2432,-102,44,77,384,15,12,57,0
2462,-102,102,81,380,3,13,56,0
2437,-101,42,74,385,5,13,51,0
5805,-102,37,59,402,28,18,57,1
2452,-102,75,74,387,13,15,55,0
5805,-102,41,61,399,26,15,60,1
2457,-101,98,74,385,7,15,53,0
2447,-101,50,74,386,5,12,49,0
2437,-102,100,81,380,6,12,56,0
2462,-101,109,81,379,5,15,58,0
5805,-102,29,59,401,29,16,56,1
2427,-102,42,74,386,8,12,51,0
5805,-102,32,60,400,25,14,58,1
2437,-102,51,77,384,10,17,59,0
5805,-102,37,60,400,27,15,58,1
2452,-101,88,74,386,6,7,52,0
2432,-101,97,81,379,7,14,57,0
2457,-101,105,74,386,6,15,51,0
5805,-102,30,60,400,27,15,58,1
2432,-102,31,81,380,4,12,54,0
5805,-102,37,61,400,27,14,59,1
5765,-102,72,79,382,12,9,58,1
5805,-102,37,60,401,28,16,58,1
2442,-101,37,81,379,4,11,55,0
5805,-102,38,61,400,27,14,59,1
2422,-102,52,74,386,9,11,52,0
5805,-102,38,61,399,27,17,59,1
2437,-101,55,81,379,5,13,56,0
2432,-102,116,81,380,7,10,59,0
2417,-101,43,81,379,4,11,55,0
5805,-102,53,60,401,27,14,58,1
2437,-102,83,81,380,4,9,55,0
2427,-102,25,74,386,6,10,53,0
2417,-103,101,81,381,11,12,56,0
5805,-102,59,62,399,26,12,59,1
2427,-102,33,74,386,4,13,50,0
5805,-102,40,60,400,27,15,58,1
5805,-102,33,61,399,27,13,58,1
5805,-102,35,79,381,11,8,58,1
2457,-102,45,81,380,6,14,56,0
2447,-101,46,81,379,6,12,56,0
2422,-101,96,81,379,7,16,58,0
2437,-101,29,74,386,6,9,49,0
5765,-102,47,77,383,13,10,58,1
5805,-102,47,61,399,26,15,59,1
5805,-102,39,82,378,11,8,59,1
5805,-102,63,61,399,26,11,59,1
2422,-102,35,81,380,3,12,53,0
2462,-102,36,74,386,5,11,48,0
5805,-102,42,61,399,27,14,59,1
2432,-102,50,81,380,5,13,55,0
5785,-102,41,70,390,16,1,54,1
5805,-102,43,61,400,27,15,59,1
5805,-102,35,60,401,28,15,58,1
5805,-102,42,81,380,11,9,60,1
5805,-102,32,79,382,12,8,57,1
5805,-102,46,63,398,26,16,61,1
2437,-101,52,81,379,4,13,55,0
2427,-102,45,81,380,5,12,54,0
2457,-102,42,81,380,5,11,54,0
2422,-102,28,81,380,5,7,55,0
2412,-108,83,81,386,13,16,59,0
2432,-102,66,71,390,14,6,55,0
5805,-102,45,62,398,26,15,60,1
2447,-101,94,74,385,5,12,51,0
5805,-102,38,61,400,27,12,59,1
5805,-102,39,61,399,26,15,59,1
2417,-102,46,81,380,4,6,54,0
5805,-102,42,61,399,28,13,59,1
2412,-108,98,81,386,8,11,54,0
2457,-102,54,81,380,6,14,56,0
2437,-102,109,69,391,7,11,48,0
5805,-102,48,61,399,26,14,58,1
5805,-102,46,62,398,26,14,59,1
5805,-102,73,61,400,27,17,59,1
5805,-102,55,62,398,25,14,60,1
2427,-101,93,81,379,4,12,55,0
2442,-101,49,74,386,5,14,49,0
2457,-102,62,81,380,5,14,57,0
2457,-102,49,81,380,6,12,56,0
5805,-102,38,60,401,29,15,58,1
5805,-102,36,60,401,27,17,58,1
2422,-102,66,81,380,6,11,58,0
2447,-101,36,81,379,5,11,56,0
5180,-102,29,72,389,13,10,57,1
5240,-102,50,77,384,11,8,60,1
2417,-102,45,69,391,5,13,46,0
5805,-102,35,61,400,27,15,59,1
2432,-102,61,78,382,7,5,54,0
2432,-102,98,74,386,5,13,50,0
2427,-101,108,81,379,4,14,57,0
2462,-102,23,81,380,5,14,54,0
2417,-101,80,79,380,8,14,58,0
2417,-102,65,77,383,14,15,55,0
5805,-102,37,79,381,10,9,59,1
5745,-102,41,82,379,12,10,59,1
5805,-102,37,60,401,27,13,59,1
5805,-102,32,61,400,26,15,59,1
2437,-101,97,81,379,6,12,55,0
5805,-102,31,60,400,27,15,58,1
2437,-101,111,74,386,6,13,50,0
5805,-102,30,60,401,28,15,59,1
2437,-101,101,81,379,5,10,56,0
2417,-101,24,81,379,5,12,54,0
2422,-101,98,81,379,8,10,59,0
5805,-102,34,61,399,27,15,59,1
5805,-102,38,62,398,26,13,60,1
5805,-102,35,60,401,26,13,58,1
5805,-102,46,61,399,27,15,60,1
2452,-101,46,74,385,3,14,51,0
5805,-102,31,59,402,29,13,57,1
2422,-102,34,69,391,6,9,44,0
5240,-102,34,75,385,12,10,58,1
2452,-102,51,81,380,7,11,57,0
5805,-102,37,61,400,26,13,58,1
5805,-102,42,61,400,26,15,59,1
2422,-102,94,81,380,6,12,56,0
2437,-101,92,80,379,7,12,57,0
2442,-101,113,74,386,5,15,52,0
2462,-101,96,80,379,7,5,56,0
2447,-101,27,81,379,4,14,55,0
5805,-102,33,59,401,29,16,57,1
5805,-102,39,60,400,28,15,58,1
5805,-102,36,60,400,27,15,58,1
2412,-108,103,74,393,13,14,54,0
2422,-102,66,81,380,7,12,56,0
2417,-103,100,74,388,8,15,52,0
5805,-102,37,61,400,26,15,59,1
5805,-102,42,62,399,26,14,60,1
2432,-101,104,74,386,4,14,51,0
5785,-102,40,71,389,16,1,55,1
5805,-102,51,62,399,26,16,61,1
2432,-102,105,74,386,5,12,50,0
5805,-102,47,61,400,28,14,59,1
2452,-101,46,69,390,5,12,46,0
5805,-102,41,60,400,28,12,58,1
5180,-102,44,74,387,12,8,58,1
5805,-102,42,61,399,27,15,59,1
5805,-102,37,60,401,28,18,59,1
5805,-102,47,61,399,27,12,59,1
5805,-102,35,60,400,29,15,58,1
5805,-102,41,81,379,11,7,57,1
2442,-102,32,74,387,5,13,49,0
2462,-102,39,81,380,8,18,59,0
2442,-101,70,80,379,5,13,58,0
2432,-102,37,81,380,6,14,56,0
5240,-102,42,77,383,10,7,60,1
2417,-102,34,81,380,5,6,54,0
5805,-102,42,61,400,27,16,59,1
2457,-102,69,81,380,8,13,58,0
5805,-102,33,59,401,29,12,56,1
2447,-101,46,69,391,5,13,46,0
2432,-102,38,81,380,6,13,57,0
5805,-102,29,59,401,28,16,57,1
5805,-102,41,62,399,27,16,60,1
5805,-102,41,60,400,26,17,59,1
5805,-102,37,60,401,27,16,59,1
2432,-102,35,81,380,8,13,57,0
2427,-101,102,74,385,5,13,51,0
5805,-102,38,61,400,28,15,60,1
5805,-102,51,62,399,26,17,60,1
2457,-101,107,74,385,9,17,54,0
5805,-102,38,60,400,27,15,59,1
2447,-101,102,74,386,5,12,51,0
5805,-102,36,61,400,27,14,59,1
2462,-101,100,74,386,6,12,50,0
5240,-102,31,76,385,12,11,58,1
2462,-102,139,65,395,24,16,51,0
2442,-101,47,81,379,3,13,54,0
5805,-102,34,61,400,26,14,59,1
5805,-102,34,59,402,29,17,58,1
5765,-102,66,79,381,13,8,58,1
2422,-102,89,75,386,10,1,52,0
5805,-102,42,60,401,28,13,58,1
2422,-101,94,81,379,4,9,56,0
5805,-102,44,60,400,27,16,59,1
5805,-102,34,60,400,27,13,57,1
5805,-102,33,59,401,29,15,57,1
2442,-102,24,81,380,5,13,54,0
2422,-102,87,81,380,6,12,55,0
5805,-102,41,60,401,28,15,59,1
2427,-102,98,81,380,6,12,56,0
5805,-102,41,61,399,27,14,59,1
2457,-101,108,74,385,6,11,53,0
2422,-102,101,81,380,6,13,55,0
2437,-102,38,75,386,14,19,57,0
2457,-101,95,74,385,9,14,57,0
2447,-101,45,69,391,4,12,46,0
2427,-102,58,81,380,5,12,55,0
5240,-102,51,77,383,11,10,60,1
2462,-102,68,81,380,5,14,57,0
5805,-102,37,65,395,12,9,48,1
2447,-101,46,74,386,5,11,49,0
5765,-102,62,78,382,14,9,58,1
5200,-102,42,76,384,11,8,59,1
5805,-102,44,62,398,26,15,60,1
2457,-101,94,81,379,6,12,56,0
5805,-102,37,62,399,27,18,60,1
5200,-102,27,75,385,11,6,57,1
5805,-102,37,59,401,28,15,57,1
2437,-101,49,74,386,4,6,50,0
2427,-102,46,81,380,5,5,56,0
5805,-102,24,77,383,11,9,56,1
2437,-101,67,81,379,5,8,55,0
5785,-102,50,71,390,16,2,56,1
2442,-101,50,81,379,3,12,54,0
5805,-102,36,59,401,28,15,57,1
5200,-102,36,77,383,10,9,60,1
5805,-102,39,80,380,10,10,60,1
5805,-102,35,61,399,28,14,58,1
5805,-102,36,60,400,26,15,59,1
5805,-102,44,59,401,28,17,58,1
5805,-102,55,62,398,25,16,60,1
2432,-101,40,74,386,4,11,49,0
5180,-102,31,72,388,13,9,59,1
5805,-102,32,59,401,28,14,57,1
5805,-102,36,60,401,27,14,59,1
5805,-102,32,60,401,27,16,58,1
2447,-101,49,74,386,4,11,49,0
5805,-102,29,59,402,29,15,57,1
5240,-102,28,74,386,12,9,57,1
2432,-102,47,81,380,4,11,54,0
5805,-102,36,60,400,28,16,58,1
5805,-102,34,80,380,11,9,58,1
2422,-102,40,81,380,7,9,56,0
2457,-102,89,72,388,14,13,55,0
5805,-102,39,61,400,27,13,59,1
5805,-102,40,62,399,26,16,60,1
2462,-102,32,81,380,5,13,54,0
5805,-102,51,61,399,26,16,59,1
5805,-102,37,60,400,27,16,59,1
5805,-102,48,61,400,27,14,59,1
5805,-102,31,60,401,28,15,58,1
2427,-102,32,81,380,5,12,54,0
2442,-101,103,74,385,5,15,51,0
2417,-103,92,78,383,9,15,55,0
5805,-102,46,82,379,11,10,60,1
2447,-101,53,74,386,3,12,49,0
5805,-102,30,59,402,29,14,56,1
2447,-101,48,74,386,6,13,51,0
5805,-102,46,60,400,27,14,58,1
5805,-102,30,59,401,28,14,57,1
5805,-102,33,60,400,28,14,57,1
2412,-108,129,78,389,23,14,59,0
2462,-102,58,81,380,5,15,57,0
2452,-101,50,81,379,4,12,55,0
5805,-102,37,61,399,28,13,59,1
2412,-107,52,71,395,21,21,57,0
2422,-101,39,74,385,4,8,49,0
2427,-102,47,74,386,5,14,49,0
5805,-102,32,59,401,28,16,58,1
5805,-102,42,60,400,28,15,59,1
5805,-102,33,60,401,28,15,58,1
2462,-102,94,74,387,5,14,50,0
5805,-102,58,62,399,25,14,60,1
5805,-102,51,62,399,27,15,60,1
5805,-102,50,61,399,26,16,59,1
5805,-102,35,60,401,29,16,59,1
5805,-102,43,61,399,26,14,59,1
2412,-107,50,74,392,7,11,48,0
5805,-102,45,61,400,27,13,59,1
2427,-102,82,81,380,3,12,54,0
2412,-108,99,81,386,9,11,55,0
5805,-102,53,61,399,26,14,60,1
5805,-102,34,59,402,28,15,57,1
5805,-102,36,60,401,27,14,57,1
5805,-102,42,59,402,28,15,58,1
5805,-102,38,62,399,26,13,60,1
5805,-102,35,62,399,11,9,45,1
5805,-102,50,63,398,25,16,61,1
2457,-102,50,74,387,5,14,50,0
2457,-102,34,81,380,5,11,53,0
2432,-101,54,77,383,10,15,59,0
5765,-102,43,77,383,14,9,57,1
5805,-102,46,61,399,27,13,58,1
2442,-102,41,81,380,4,10,54,0
2447,-101,39,81,379,5,13,55,0
5805,-102,44,61,399,27,16,60,1
2447,-101,44,81,379,4,13,55,0
2462,-102,88,81,380,5,12,56,0
5805,-102,36,61,399,26,16,58,1
2422,-102,44,74,386,4,10,48,0
5805,-102,59,60,401,28,15,58,1
5805,-102,33,59,401,27,16,57,1
2437,-101,26,81,379,4,13,54,0
2417,-101,54,72,388,15,24,57,0
2457,-101,96,74,385,4,13,50,0
5805,-102,54,62,399,25,13,60,1
5805,-102,38,61,400,26,15,59,1
5805,-102,42,61,400,26,15,59,1
5785,-102,55,72,388,14,2,57,1
2442,-101,113,81,379,5,14,55,0
5745,-102,41,84,377,10,8,60,1
5805,-102,41,60,400,26,15,58,1
2447,-101,99,81,379,6,11,58,0
5805,-102,28,59,402,29,16,57,1
5785,-102,42,69,392,16,1,53,1
5805,-102,39,60,401,27,16,58,1
5805,-102,45,62,399,25,14,60,1
5805,-102,42,60,400,26,15,59,1
2432,-101,107,74,385,4,11,51,0
2412,-109,35,74,393,15,12,54,0
2417,-101,44,70,389,15,21,55,0
2427,-102,42,81,380,6,14,57,0
5805,-102,45,62,398,26,15,60,1
5805,-102,39,61,399,26,15,60,1
5805,-102,47,62,399,27,14,59,1
2437,-101,52,81,379,5,12,54,0
5805,-102,46,62,398,25,14,60,1
5805,-102,44,60,400,28,13,58,1
5805,-102,58,63,398,25,13,61,1
5805,-102,47,62,399,26,15,60,1
5805,-102,33,71,390,13,11,53,1
5805,-102,31,60,401,28,14,58,1
2462,-102,56,77,383,10,15,55,0
2412,-107,59,81,385,10,11,54,0
5805,-102,33,59,401,28,15,57,1
5805,-102,33,59,402,29,14,57,1
5240,-102,30,76,384,10,9,59,1
2462,-102,52,81,380,5,14,56,0
5805,-102,33,71,390,12,8,51,1
5805,-102,55,61,400,27,14,59,1
5805,-102,42,60,401,27,15,59,1
2432,-102,54,69,392,18,8,55,0
2422,-101,40,74,385,8,13,52,0
5805,-102,42,62,398,25,14,58,1
5805,-102,36,59,401,28,18,57,1
2427,-102,114,81,380,7,13,57,0
2422,-101,34,81,379,5,11,54,0
2452,-101,98,74,385,10,7,55,0
5805,-102,41,59,401,31,18,59,1
5805,-102,34,60,400,27,17,58,1
5200,-102,40,75,385,12,9,59,1
5805,-102,48,62,398,26,14,61,1
5805,-102,40,61,400,27,15,59,1
2422,-102,95,81,380,5,14,57,0
2417,-102,73,78,383,11,18,59,0
2422,-102,37,81,380,5,14,56,0
5805,-102,37,61,400,26,15,59,1
2442,-101,38,81,379,4,13,55,0
5805,-102,30,59,402,28,15,57,1
5805,-102,35,61,399,27,16,59,1
2452,-102,42,74,386,5,12,49,0
2442,-101,106,81,379,5,15,56,0
2432,-102,35,81,380,6,13,57,0
5805,-102,40,60,401,28,15,58,1
2417,-102,65,81,380,5,9,54,0
2422,-102,80,81,380,12,11,56,0
2442,-101,36,81,379,3,13,55,0
5805,-102,32,81,380,12,10,58,1
5805,-102,50,61,399,27,14,59,1
2447,-101,46,74,385,7,15,52,0
5765,-102,74,81,380,13,10,60,1
5805,-102,34,61,399,26,12,58,1
5805,-102,34,60,400,28,12,58,1
5805,-102,34,59,402,29,12,57,1
5805,-102,34,61,400,26,14,59,1
2442,-102,113,81,380,4,12,55,0
2417,-102,48,74,386,3,12,49,0
5805,-102,35,60,401,26,14,58,1
5805,-102,38,61,399,26,14,59,1
5805,-102,39,62,399,26,16,59,1
2442,-101,51,81,379,5,8,54,0
5805,-102,23,79,381,11,8,56,1
5805,-102,43,61,400,27,14,59,1
2422,-102,127,72,389,17,14,57,0
5200,-102,34,73,387,12,11,59,1
2417,-101,57,81,379,4,13,57,0
5805,-102,35,60,401,28,14,58,1
5805,-102,53,61,400,26,16,59,1
2427,-101,92,81,379,4,13,55,0
2432,-102,125,73,388,16,14,55,0
2427,-102,37,69,391,8,13,47,0
5805,-102,41,60,401,28,18,59,1
2427,-102,39,81,380,5,11,54,0
2422,-102,92,81,380,7,15,56,0
2422,-102,57,81,380,7,7,57,0
5805,-102,47,61,400,26,14,59,1
2412,-109,48,74,394,12,16,52,0
5805,-102,26,80,380,9,8,57,1
5805,-102,42,62,399,26,15,59,1
2422,-102,95,81,380,7,15,57,0
5805,-102,36,60,401,27,11,58,1
5805,-102,41,61,400,27,15,59,1
5805,-102,30,60,401,29,15,58,1
5805,-102,36,61,400,26,13,58,1
2447,-101,52,69,390,4,11,46,0
5805,-102,46,60,401,28,14,58,1
2462,-102,90,74,387,7,13,51,0
2462,-102,95,81,380,3,12,55,0
2442,-102,47,81,380,3,11,54,0
5805,-102,42,61,400,28,16,59,1
5805,-102,39,82,378,10,9,58,1
2437,-101,49,81,379,7,14,58,0
5805,-102,43,62,398,27,13,59,1
2447,-101,100,74,386,6,17,51,0
5805,-102,30,79,381,10,8,57,1
2462,-102,78,81,380,5,11,57,0
5785,-102,70,75,385,13,0,57,1
5805,-102,36,61,400,26,14,59,1
5785,-102,36,69,391,16,2,54,1
5805,-102,36,60,401,28,15,58,1
2422,-102,49,74,386,4,14,48,0
5805,-102,39,79,381,11,8,57,1
5805,-102,30,60,400,28,14,58,1
2442,-101,45,81,379,5,10,54,0
5805,-102,62,63,398,26,17,62,1
5805,-102,38,68,392,13,10,49,1
2452,-101,95,81,379,6,9,57,0
2437,-101,38,81,379,4,12,56,0
2437,-101,39,81,379,5,12,55,0
5805,-102,42,60,401,28,14,59,1
2412,-108,62,74,393,14,12,52,0
2422,-101,37,74,386,5,14,49,0
5805,-102,41,61,400,28,15,59,1
5805,-102,45,61,399,27,12,59,1
5805,-102,30,60,401,28,14,57,1
2457,-102,44,74,386,5,13,50,0
